flat_id,destination_id,pt_total,pt_walk,pt_bus,pt_rail,pt_transit,pt_transfers,pt_fare,drive_total,cycle_total,walk_total
"R16","D01","71","8","8","47","56","1","2.45","39","223","300"
"R16","D02","97","20","9","62","72","1","2.54","48","337","427"
"R16","D03","39","8","1","27","29","1","2.15","28","145","194"
"R16","D04","36","5","0","27","28","0","1.8","29","141","195"
"R16","D05","62","16","1","42","44","1","2.23","36","200","267"
"R16","D06","22","15","0","7","7","0","1.49","12","31","54"
"R16","D07","76","12","6","53","59","1","2.48","41","283","327"
"R16","D08","87","5","76","0","76","0","2.35","37","253","311"
"R16","D09","46","8","1","30","31","1","1.88","27","163","197"
"R16","D10","58","26","4","24","29","1","2.2","29","182","216"
"R17","D01","79","7","11","51","62","1","2.48","41","256","329"
"R17","D02","107","20","12","66","78","1","2.57","50","370","455"
"R17","D03","46","7","4","31","35","1","2.27","31","178","223"
"R17","D04","52","14","4","31","35","1","2.27","31","173","224"
"R17","D05","69","16","4","46","50","1","2.43","39","233","296"
"R17","D06","35","13","10","5","15","1","1.59","12","64","71"
"R17","D07","86","12","9","56","66","1","2.82","43","316","356"
"R17","D08","99","20","73","0","73","0","2.2","37","211","305"
"R17","D09","53","7","4","34","38","1","2.33","29","196","226"
"R17","D10","70","25","4","37","42","1","2.33","31","215","245"
"R18","D01","75","8","10","51","62","1","2.48","41","251","319"
"R18","D02","103","20","10","66","76","1","2.57","50","365","446"
"R18","D03","43","7","2","31","33","1","2.27","30","173","213"
"R18","D04","50","14","2","31","33","1","2.27","29","169","214"
"R18","D05","67","15","2","46","48","1","2.42","38","228","286"
"R18","D06","37","18","7","7","14","1","1.68","13","74","81"
"R18","D07","83","15","3","56","60","1","2.5","43","311","346"
"R18","D08","89","21","64","0","64","0","2.08","35","197","290"
"R18","D09","51","7","2","34","36","1","2.3","29","142","216"
"R18","D10","68","25","2","37","40","1","2.33","31","210","235"
"R19","D01","51","6","7","33","41","1","2.3","28","168","218"
"R19","D02","77","18","8","48","56","1","2.46","37","281","348"
"R19","D03","19","6","0","13","13","0","1.75","18","90","103"
"R19","D04","26","12","0","13","13","0","1.75","18","85","103"
"R19","D05","42","14","0","28","28","0","2.07","26","144","184"
"R19","D06","30","14","0","13","13","0","1.68","15","63","94"
"R19","D07","59","9","5","38","44","1","2.36","30","227","248"
"R19","D08","76","10","5","51","57","1","2.57","37","202","274"
"R19","D09","26","6","0","16","16","0","1.86","17","107","111"
"R19","D10","41","17","1","19","21","1","1.94","18","127","125"
"R20","D01","58","8","7","33","40","1","2.33","26","149","223"
"R20","D02","86","21","8","48","56","1","2.48","39","262","356"
"R20","D03","30","5","7","13","20","1","1.82","13","71","103"
"R20","D04","28","3","7","10","17","1","1.82","13","66","102"
"R20","D05","50","17","0","28","28","0","2.15","25","125","189"
"R20","D06","44","11","32","0","32","0","1.86","15","70","104"
"R20","D07","66","12","5","38","44","1","2.4","32","208","254"
"R20","D08","78","25","7","38","45","1","2.43","38","232","287"
"R20","D09","32","9","0","22","22","0","1.98","17","88","116"
"R20","D10","46","26","0","19","19","0","1.94","19","107","130"
"R21","D01","71","16","29","17","46","1","2.3","30","149","-1"
