flat_id,destination_id,pt_total,pt_walk,pt_bus,pt_rail,pt_transit,pt_transfers,pt_fare,drive_total,cycle_total,walk_total
"R47","D03","35","8","1","19","21","1","1.98","19","104","138"
"R47","D04","40","15","1","19","21","1","1.98","20","107","144"
"R47","D05","28","16","1","4","6","1","1.38","12","34","50"
"R47","D06","75","20","7","41","49","1","2.42","40","232","306"
"R47","D07","25","17","7","0","7","0","1.28","12","30","34"
"R47","D08","65","20","9","28","38","1","2.33","33","153","241"
"R47","D09","42","11","1","20","22","1","1.9","21","91","106"
"R47","D10","47","23","3","13","16","1","1.86","17","72","120"
"R48","D01","25","3","22","0","22","0","2.75","15","62","86"
"R48","D02","50","21","13","10","23","1","1.9","16","73","111"
"R48","D03","41","9","0","27","27","0","2.2","25","146","192"
"R48","D04","46","6","13","23","37","1","2.15","26","148","198"
"R48","D05","34","17","0","12","12","0","1.82","18","76","104"
"R48","D06","80","16","7","49","56","1","2.54","38","274","330"
"R48","D07","12","2","9","0","9","0","2.28","9","26","36"
"R48","D08","45","13","5","23","28","1","1.76","30","119","195"
"R48","D09","43","7","21","10","31","1","1.55","26","133","149"
"R48","D10","53","27","0","21","21","0","2.02","22","113","173"
"R49","D01","27","6","21","0","21","0","2.68","15","63","86"
"R49","D02","51","22","13","10","23","1","1.9","16","74","112"
"R49","D03","42","10","0","27","27","0","2.2","25","150","191"
"R49","D04","44","6","12","23","36","1","2.15","26","153","197"
"R49","D05","35","18","0","12","12","0","1.82","18","80","104"
"R49","D06","80","16","7","49","56","1","2.54","37","278","327"
"R49","D07","13","5","8","0","8","0","2.28","9","27","36"
"R49","D08","46","14","5","23","28","1","1.76","30","123","197"
"R49","D09","41","6","19","10","30","1","1.53","25","137","147"
"R49","D10","53","28","0","21","21","0","2.02","22","118","173"
"R50","D01","46","9","25","7","32","1","1.98","23","97","131"
"R50","D02","62","21","26","6","32","1","1.94","17","115","145"
"R50","D03","50","11","2","32","35","1","2.24","30","134","216"
"R50","D04","45","7","2","31","34","1","2.24","32","136","222"
"R50","D05","44","15","0","22","22","0","2.07","25","64","143"
"R50","D06","89","13","2","69","72","1","2.45","39","262","352"
"R50","D07","32","11","3","12","16","1","1.86","18","61","87"
"R50","D08","41","11","5","19","25","1","1.62","23","83","145"
"R50","D09","42","8","9","18","27","1","1.89","26","121","172"
"R50","D10","63","25","0","31","31","0","2.24","31","101","207"
